filename,actual text,tesseractv3_out,result
frame_id_1_1.png,KA 01 AF 4548,,0
frame_id_1_2.png,KA 02 AG 2071,"KA 02 AG 2071 .

E1",0
frame_id_1015_1.png,KA 51 MD 7045,ISAC/1 51 M I) 7045',0
frame_id_1016_1.png,KA 51 MD 7045,‘ Im 51 MI) 7045,0
frame_id_1017_1.png,KA 51 MD 7045,[m 5] MI) 7045,0
frame_id_1018_1.png,KA 51 MD 7045,,0
frame_id_1030_1.png,KA 51 MJ 1928,I KA 51 MJ 1928',0
frame_id_1031_1.png,KA 51 MJ 1928,KA 51 MJ 1928,1
frame_id_1032_1.png,KA 51 MJ 1928,KA 51 MJ 1923!,0
frame_id_1034_1.png,KA 51 MJ 1928,"KA 51 MJ 1928

n_",0
frame_id_1035_1.png,KA 51 MJ 1928,KA 51 MJ 1928,1
frame_id_1043_1.png,KA 51 MJ 1928,KA 51 WM 128,0
frame_id_1044_1.png,KA 51 MJ 1928,KA 51 MJ 1928,1
frame_id_1046_1.png,KA 51 MJ 1928,KA 51 MJ1928,0
frame_id_1047_1.png,KA 51 MJ 1928,\ KA 51 MJ 1928,0
frame_id_1048_1.png,KA 51 MJ 1928,"KA 51 MJ 1928

K",0
frame_id_1049_1.png,KA 51 MJ 1928,"KA 51 MJ 1928

x.",0
frame_id_1050_1.png,KA 51 MJ 1928,( KA 51 MJ 1923,0
frame_id_1051_1.png,KA 51 MJ 1928,"( m 51 MJ 1925
""4‘",0
frame_id_1052_1.png,KA 51 MJ 1928,"\{ M 51 MJ 1923 ,",0
frame_id_1053_1.png,KA 51 MJ 1928,"{1 M 51 MJ 1925 i

g",0
frame_id_1054_1.png,KA 51 MJ 1928,"V «A 51 MJ 1923 I

g",0
frame_id_1055_1.png,KA 51 MJ 1928,"V—r

u",0
frame_id_1056_1.png,KA 51 MJ 1928,"«\—r

u",0
frame_id_1057_1.png,KA 51 MJ 1928,"V\_’

‘v",0
frame_id_1058_1.png,KA 51 MJ 1928,"V KA 51 MJ1928 /

'g",0
frame_id_1058_2.png,KA 04 AB 0154,KAuLIBn15£,0
frame_id_1059_1.png,KA 51 MJ 1928,"V KA 51 MJ 1928 /

'h-__’",0
frame_id_1059_2.png,KA 04 AB 0154,“mums,0
frame_id_1060_1.png,KA 51 MJ 1928,,0
frame_id_1060_2.png,KA 04 AB 0154,Knuznsu1sz,0
frame_id_1061_1.png,KA 04 AB 0154,KAIMBHSL,0
frame_id_1062_1.png,KA 04 AB 0154,M .443154 5,0
frame_id_1063_1.png,KA 04 AB 0154,,0
frame_id_1064_1.png,KA 04 AB 0154,,0
frame_id_1065_1.png,KA 04 AB 0154,,0
frame_id_1066_1.png,KA 04 AB 0154,,0
frame_id_1067_1.png,KA 04 AB 0154,,0
frame_id_1068_1.png,KA 04 AB 0154,,0
frame_id_1069_1.png,KA 04 AB 0154,,0
frame_id_1070_1.png,KA 04 AB 0154,,0
frame_id_1071_1.png,KA 04 AB 0154,,0
frame_id_1072_1.png,KA 04 AB 0154,,0
frame_id_1073_1.png,KA 04 AB 0154,,0
frame_id_1074_1.png,KA 04 AB 0154,,0
frame_id_1075_1.png,KA 04 AB 0154,,0
