filename,truthValue
frame_id_1015_1.png,KA 51 MD 7045
frame_id_1016_1.png,KA 51 MD 7045
frame_id_1017_1.png,KA 51 MD 7045
frame_id_1018_1.png,KA 51 MD 7045
frame_id_1030_1.png,KA 51 MJ 1928
frame_id_1031_1.png,KA 51 MJ 1928
frame_id_1032_1.png,KA 51 MJ 1928
frame_id_1034_1.png,KA 51 MJ 1928
frame_id_1035_1.png,KA 51 MJ 1928
frame_id_1043_1.png,KA 51 MJ 1928
frame_id_1044_1.png,KA 51 MJ 1928
frame_id_1046_1.png,KA 51 MJ 1928
frame_id_1047_1.png,KA 51 MJ 1928
frame_id_1048_1.png,KA 51 MJ 1928
frame_id_1049_1.png,KA 51 MJ 1928
frame_id_1050_1.png,KA 51 MJ 1928
frame_id_1051_1.png,KA 51 MJ 1928
frame_id_1052_1.png,KA 51 MJ 1928
frame_id_1053_1.png,KA 51 MJ 1928
frame_id_1054_1.png,KA 51 MJ 1928
frame_id_1055_1.png,KA 51 MJ 1928
frame_id_1056_1.png,KA 51 MJ 1928
frame_id_1057_1.png,KA 51 MJ 1928
frame_id_1058_1.png,KA 51 MJ 1928
frame_id_1058_2.png,KA 04 AB 0154
frame_id_1059_1.png,KA 51 MJ 1928
frame_id_1059_2.png,KA 04 AB 0154
frame_id_1060_1.png,KA 51 MJ 1928
frame_id_1060_2.png,KA 04 AB 0154
frame_id_1061_1.png,KA 04 AB 0154
frame_id_1062_1.png,KA 04 AB 0154
frame_id_1063_1.png,KA 04 AB 0154
frame_id_1064_1.png,KA 04 AB 0154
frame_id_1065_1.png,KA 04 AB 0154
frame_id_1066_1.png,KA 04 AB 0154
frame_id_1067_1.png,KA 04 AB 0154
frame_id_1068_1.png,KA 04 AB 0154
frame_id_1069_1.png,KA 04 AB 0154
frame_id_1070_1.png,KA 04 AB 0154
frame_id_1071_1.png,KA 04 AB 0154
frame_id_1072_1.png,KA 04 AB 0154
frame_id_1073_1.png,KA 04 AB 0154
frame_id_1074_1.png,KA 04 AB 0154
frame_id_1075_1.png,KA 04 AB 0154
frame_id_1076_1.png,KA 04 AB 0154
frame_id_1077_1.png,KA 04 AB 0154
frame_id_1078_1.png,KA 04 AB 0154
frame_id_1079_1.png,KA 04 AB 0154
frame_id_1080_1.png,KA 04 AB 0154
frame_id_1094_1.png,KA 03 AA 3219
frame_id_1096_1.png,KA 03 AA 3219
frame_id_1098_1.png,KA 03 AA 3219
frame_id_1100_1.png,KA 16 C 1549
frame_id_1101_1.png,KA 16 C 1549
frame_id_1102_1.png,KA 16 C 1549
frame_id_1103_1.png,KA 16 C 1549
frame_id_1104_1.png,KA 16 C 1549
frame_id_1105_1.png,KA 16 C 1549
frame_id_1106_1.png,KA 16 C 1549
frame_id_1107_1.png,KA 16 C 1549
frame_id_1108_1.png,KA 16 C 1549
frame_id_1109_1.png,KA 16 C 1549
frame_id_1110_1.png,KA 16 C 1549
frame_id_1111_1.png,KA 16 C 1549
frame_id_1112_1.png,KA 16 C 1549
frame_id_1114_1.png,KA 16 C 1549
frame_id_1115_1.png,KA 16 C 1549
frame_id_1116_1.png,KA 16 C 1549
frame_id_1117_1.png,KA 16 C 1549
frame_id_1118_1.png,KA 16 C 1549
frame_id_1119_1.png,KA 16 C 1549
frame_id_1120_1.png,KA 16 C 1549
frame_id_1121_1.png,KA 16 C 1549
frame_id_1122_1.png,KA 16 C 1549
frame_id_1123_1.png,KA 16 C 1549
frame_id_1124_1.png,KA 16 C 1549
frame_id_1125_1.png,KA 16 C 1549
frame_id_1140_1.png,KA 02 AG 9622
frame_id_1146_1.png,KA 02 AG 9622
frame_id_1146_2.png,TN 29 N 2943
frame_id_1147_1.png,KA 02 AG 9622
frame_id_1147_2.png,TN 29 N 2943
frame_id_1148_1.png,KA 02 AG 9622
frame_id_1148_2.png,TN 29 N 2943
frame_id_1149_1.png,TN 29 N 2943
frame_id_1149_2.png,KA 02 AG 9622
frame_id_1151_1.png,TN 29 N 2943
frame_id_1153_1.png,TN 29 N 2943
frame_id_1154_1.png,TN 29 N 2943
frame_id_1155_1.png,TN 29 N 2943
frame_id_1156_1.png,TN 29 N 2943
frame_id_1159_1.png,KA 03 MY 2851
frame_id_1160_1.png,TN 29 N 2943
frame_id_1161_1.png,KA 03 MY 2851
frame_id_1162_1.png,TN 29 N 2943
frame_id_1163_1.png,TN 29 N 2943
frame_id_1164_1.png,TN 29 N 2943
frame_id_1165_1.png,KA 03 MY 2851
frame_id_1166_1.png,TN 29 N 2943
frame_id_1167_1.png,KA 03 MY 2851
frame_id_1168_1.png,TN 29 N 2943
frame_id_1168_2.png,KA 51 MM 3
frame_id_1169_1.png,TN 29 N 2943
frame_id_1169_2.png,KA 51 MM 3
frame_id_1170_1.png,KA 03 MY 2851
frame_id_1171_1.png,KA 03 MY 2851
frame_id_1172_1.png,KA 03 MY 2851
frame_id_1173_1.png,KA 03 MY 2851
frame_id_1174_1.png,TN 29 N 2943
frame_id_1174_2.png,KA 51 MM 3
frame_id_1175_1.png,TN 29 N 2943
frame_id_1175_2.png,KA 51 MM 3
frame_id_1176_1.png,TN 29 N 2943
frame_id_1176_2.png,KA 51 MM 3
frame_id_1177_1.png,KA 03 MY 2851
frame_id_1178_1.png,KA 03 MY 2851
frame_id_1179_1.png,KA 03 MY 2851
frame_id_1180_1.png,KA 03 MY 2851
frame_id_1181_1.png,KA 03 MY 2851
frame_id_1182_1.png,KA 03 MY 2851
frame_id_1183_1.png,KA 03 MY 2851
frame_id_1186_1.png,KA 05 AE 2950
frame_id_1187_1.png,KA 05 AE 2950
frame_id_1188_1.png,KA 05 AE 2950
frame_id_1189_1.png,KA 05 AE 2950
frame_id_1190_1.png,KA 05 AE 2950
frame_id_1191_1.png,KA 51 MM 3
frame_id_1192_1.png,KA 05 AE 2950
frame_id_1193_1.png,KA 05 AE 2950
frame_id_1194_1.png,KA 51 MM 3
frame_id_1195_1.png,KA 05 AE 2950
frame_id_1198_1.png,KA 05 AE 2950
frame_id_1204_1.png,KA 05 AE 2950
frame_id_1205_1.png,KA 05 AE 2950
frame_id_1214_1.png,KA 01 MM 3919
frame_id_1218_1.png,KA 01 MM 3919
frame_id_1219_1.png,KA 01 MM 3919
frame_id_1220_1.png,KA 01 MM 3919
frame_id_1221_1.png,KA 01 MM 3919
frame_id_1222_1.png,KA 01 MM 3919
frame_id_1225_1.png,KA 01 MM 3919
frame_id_1230_1.png,KA 01 MM 3919
frame_id_1232_1.png,KA 01 MM 3919
frame_id_1233_1.png,KA 01 MM 3919
frame_id_1233_2.png,KA 04 AB 4541
frame_id_1234_1.png,KA 01 MM 3919
frame_id_1234_2.png,KA 04 AB 4541
frame_id_1235_1.png,KA 01 MM 3919
frame_id_1235_2.png,KA 04 AB 4541
frame_id_1236_1.png,KA 01 MM 3919
frame_id_1236_2.png,KA 04 AB 4541
frame_id_1237_1.png,KA 01 MM 3919
frame_id_1237_2.png,KA 04 AB 4541
frame_id_1238_1.png,KA 01 MM 3919
frame_id_1238_2.png,KA 04 AB 4541
frame_id_1239_1.png,KA 01 MM 3919
frame_id_1239_2.png,KA 04 AB 4541
frame_id_1240_1.png,KA 01 MM 3919
frame_id_1240_2.png,KA 04 AB 4541
frame_id_1241_1.png,KA 01 MM 3919
frame_id_1241_2.png,KA 04 AB 4541
frame_id_1242_1.png,KA 04 AB 4541
frame_id_1243_1.png,KA 04 AB 4541
frame_id_1244_1.png,KA 04 AB 4541
frame_id_1245_1.png,KA 04 AB 4541
frame_id_1246_1.png,KA 04 AB 4541
frame_id_1247_1.png,KA 04 AB 4541
frame_id_1248_1.png,KA 04 AB 4541
frame_id_1249_1.png,KA 04 AB 4541
frame_id_1250_1.png,KA 04 AB 4541
frame_id_1251_1.png,KA 04 AB 4541
frame_id_1258_1.png,KA 04 AB 4541
frame_id_1285_1.png,TN 01 AS 9145
frame_id_1286_1.png,TN 01 AS 9145
frame_id_1287_1.png,TN 01 AS 9145
frame_id_1288_1.png,TN 01 AS 9145
frame_id_1289_1.png,TN 01 AS 9145
frame_id_1290_1.png,TN 01 AS 9145
frame_id_1291_1.png,TN 01 AS 9145
frame_id_1292_1.png,TN 01 AS 9145
frame_id_1293_1.png,TN 01 AS 9145
frame_id_1294_1.png,TN 01 AS 9145
frame_id_1295_1.png,TN 01 AS 9145
frame_id_1296_1.png,TN 01 AS 9145
frame_id_1297_1.png,TN 01 AS 9145
frame_id_1298_1.png,TN 01 AS 9145
frame_id_1299_1.png,TN 01 AS 9145
frame_id_1300_1.png,TN 01 AS 9145
frame_id_1436_1.png,KA 03 AD 4814
frame_id_1438_1.png,KA 03 AD 4814
frame_id_1440_1.png,KA 03 AD 4814
frame_id_1481_1.png,KA 10 A 0964
frame_id_1483_1.png,KA 10 A 0964
frame_id_1486_1.png,KA 10 A 0964
frame_id_1493_1.png,KA 10 A 0964
frame_id_1494_1.png,KA 10 A 0964
frame_id_1495_1.png,KA 04 MD 7695
frame_id_1496_1.png,KA 04 MD 7695
frame_id_1497_1.png,KA 04 MD 7695
frame_id_1498_1.png,KA 10 A 0964
frame_id_1499_1.png,KA 04 MD 7695
frame_id_1500_1.png,KA 04 MD 7695
frame_id_1501_1.png,KA 04 MD 7695
frame_id_1502_1.png,KA 04 MD 7695
frame_id_1520_1.png,KA 51 MN 3223
frame_id_1521_1.png,KA 51 MN 3223
frame_id_1522_1.png,KA 51 MN 3223
frame_id_1523_1.png,KA 51 MN 3223
frame_id_1524_1.png,KA 51 MN 3223
frame_id_1525_1.png,KA 51 MN 3223
frame_id_1526_1.png,KA 51 MN 3223
frame_id_1527_1.png,KA 51 MN 3223
frame_id_1528_1.png,KA 02 AE 4432
frame_id_1529_1.png,KA 51 MN 3223
frame_id_1530_1.png,KA 51 MN 3223
frame_id_1531_1.png,KA 51 MN 3223
frame_id_1532_1.png,KA 02 AE 4432
frame_id_1533_1.png,KA 02 AE 4432
frame_id_1534_1.png,KA 02 AE 4432
frame_id_1535_1.png,KA 02 AE 4432
frame_id_1536_1.png,KA 04 MJ 8031
frame_id_1536_2.png,KA 02 AE 4432
